quotes,class
The expert in anything was once a beginner.,1
The worst part of success is trying to find someone who is happy for you.,0
Not everything is a lesson. Sometimes you just fail.,0
It’s only when you look at an ant through a magnifying glass on a sunny day that you realize how often they burst into flames.,0
Trying is the first step toward failure.,0
I am free of all prejudice. I hate everyone equally.,0
"I find that the harder I work, the more luck I seem to have.",1
Always remember that you are absolutely unique. Just like everyone else.,0
Procrastination makes easy things hard and hard things harder.,1
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.,0
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,0
The way to get started is to quit talking and begin doing.,1
A person who never made a mistake never tried anything new.,1
Success is just failure that hasn't happened yet.,0
There are no shortcuts to any place worth going.,1
The mind is not a vessel to be filled but a fire to be ignited.,1
Challenging yourself...is a good way to fail.,0
I love mankind... it's people I can't stand!,0
The best things in life are actually really expensive.,0
The best way to predict your future is to create it.,1
"If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it.",0
"You don’t have to be great to start, but you have to start to be great.",1
I think it’s possible for ordinary people to choose to be extraordinary.,1
Motivation is what gets you started. Habit is what keeps you going.,1
Never underestimate the power of stupid people in large groups.,1
"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.",1
"Genius is 10% inspiration, 90% perspiration.",1
Go to heaven for the climate and hell for the company.,0
"Teachers can open the door, but you must enter it yourself.",1
"If you want to know what God thinks of money, just look at the people he gave it to.",0
Never let the fear of striking out stop you from playing the game.,1
"Eagles may soar, but weasels don't get sucked into jet engines",0
Just imagine how terrible it might have been if we’d been at all competent.,0
The beautiful thing about learning is that no one can take it away from you.,1
He who laughs last didn’t get the joke.,0
Don’t let what you cannot do interfere with what you can do,1
TEAMWORK: A few harmless flakes working together can unleash an avalanche of destruction.,0
You have to make the good out of the bad because that is all you have got to make it out of.,0
Education is the most powerful weapon you can use to change the world.,1
"Success is the sum of small efforts, repeated.",1